evento_id,estudiante_id,sesion_num,tipo_asistencia,timestamp,literal
1d0c190b-9f12-4726-95ca-b01760bd9071,1,1,GRABACIÓN,2024-02-05T01:47:22.777371,
3c3a2e27-5c12-4116-9788-17c194d8cf18,1,2,EN VIVO,2024-02-25T05:18:08.442217,
45f3fb36-203a-425e-a6ea-53befa726be5,1,3,SIN ASISTENCIA,2024-03-15T01:09:36.031638,
34a784d3-528b-4e14-850b-fbd6cc28076f,1,4,SIN ASISTENCIA,2024-03-30T22:53:29.793526,
20231454-3abb-47b7-b272-eb63a523d904,2,1,EN VIVO,2024-02-05T15:23:27.363741,
a11153d7-f264-4c24-a61c-8d7b7e465682,2,2,GRABACIÓN,2024-02-25T08:10:33.436011,
fd1e569d-e1d3-4ef4-899f-0adb5bdf28aa,2,3,EN VIVO,2024-03-12T06:53:08.953138,
0f6933c6-a994-44fb-9d4f-e90ba408675d,2,4,SIN ASISTENCIA,2024-04-01T11:59:30.270421,
140b0e3c-054e-455b-98f3-a53d8245b1ec,3,1,GRABACIÓN,2024-02-06T02:08:22.459471,
5db85267-205a-4416-b1f9-da942f819ff9,3,2,EN VIVO,2024-02-22T05:52:31.425115,
a3d1d56e-4c8c-455d-8ee9-4337dd3ecd62,3,3,EN VIVO,2024-03-11T16:46:11.561468,
0d063f0f-fa59-42a9-9d6f-96b9c3643566,3,4,EN VIVO,2024-03-30T06:27:05.848812,
81081bd7-e70c-49c0-a9a8-75e55861baee,4,1,GRABACIÓN,2024-02-07T01:42:09.258175,
2c650872-0f72-4224-bd74-4b95fcc3b0a4,4,2,SIN ASISTENCIA,2024-02-24T13:10:20.002405,
4837076c-a272-4276-b576-85d5ec48186e,4,3,EN VIVO,2024-03-11T14:53:39.191304,
815a5e3c-3e4e-444d-b769-361446ae6e9e,4,4,SIN ASISTENCIA,2024-03-31T09:15:21.311192,
576af115-f3c9-49ab-8959-55aacd7396b8,5,1,EN VIVO,2024-02-04T14:36:37.439750,
be816f3b-2748-42fe-afd5-cce042f7e3f4,5,2,EN VIVO,2024-02-25T04:18:58.623259,
f842783b-49e9-4306-9750-48719ddb66e5,5,3,EN VIVO,2024-03-14T03:09:45.476212,
f3fd27a2-1f2e-4311-bcfb-0bfdadaf0211,5,4,SIN ASISTENCIA,2024-04-01T16:28:05.550522,
c103f878-eded-4a61-aa68-3b6943f32e0a,6,1,EN VIVO,2024-02-05T23:45:07.095960,
7361109c-138d-4734-a73a-46ecd920bfb3,6,2,EN VIVO,2024-02-25T05:32:43.163968,
e4cdfe8b-74aa-42fe-aad3-71bdfb1fb81e,6,3,SIN ASISTENCIA,2024-03-14T20:20:45.753950,
a7fb1da6-64a2-4839-9b31-37c226f04e01,6,4,SIN ASISTENCIA,2024-04-01T02:24:35.674340,
e3e6452c-8f47-4804-9012-729782518a90,7,1,EN VIVO,2024-02-03T22:40:09.351879,
717bbfbc-28cb-4387-82a4-18c4d04ed378,7,2,SIN ASISTENCIA,2024-02-22T11:00:05.141883,
b5ace064-6549-470e-8139-e7978f47ddea,7,3,SIN ASISTENCIA,2024-03-14T21:23:35.902229,
fe42e1dd-a13d-44ab-8d0c-ddf2bc17901b,7,4,GRABACIÓN,2024-03-30T10:50:27.697928,
6c5eaa64-e230-47a8-ad80-4f2a171bfb3b,8,1,GRABACIÓN,2024-02-04T10:28:05.129752,
fc66bd2c-045f-44e3-bdc9-a031ea110127,8,2,GRABACIÓN,2024-02-23T18:58:04.144858,
0b3dbf60-61de-441b-a61a-590b588c20c8,8,3,GRABACIÓN,2024-03-13T10:22:10.242382,
8917aadc-43ef-4cfc-b7ed-989743a6657c,8,4,GRABACIÓN,2024-04-02T21:16:34.680179,
